track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
31er9IGsfFbwqy1pH4aiTP,I Have Nothing,6XpaIBNiVzIetEPCWDvAFP,Whitney Houston,7JVJlkNNobS0GSoy4tCS96,289160,1992-11-17,75,0.541,0.401,0,-10.499,1,0.0365,0.576,0.0,0.164,0.24,152.943,37i9dQZF1DWYMvTygsLWlG,Love Ballads
225xvV8r1yKMHErSWivnow,"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",7Ey4PD4MYsKc5I2dolUwbH,Aerosmith,4f7HKjBnjpMsDBDTHYV890,298760,1998-06-23,75,0.383,0.662,2,-5.162,1,0.0333,0.165,0.0,0.248,0.138,121.154,37i9dQZF1DWYMvTygsLWlG,Love Ballads
33LC84JgLvK2KuW43MfaNq,"My Heart Will Go On - Love Theme from ""Titanic""",4S9EykWXhStSc15wEx8QFK,Céline Dion,1tfS7Fo1UtAxQSf256fnYs,280000,1997-10-24,75,0.428,0.276,4,-11.729,1,0.0312,0.732,5.33e-06,0.117,0.0382,99.195,37i9dQZF1DWYMvTygsLWlG,Love Ballads
63xdwScd1Ai1GigAwQxE8y,Let's Stay Together,3dkbV4qihUeMsqN4vBGg93,Al Green,58eMx3QrTkiRmGGbSz2XL0,199396,1972,74,0.756,0.401,7,-10.702,0,0.0526,0.582,0.011,0.0541,0.514,101.954,37i9dQZF1DWYMvTygsLWlG,Love Ballads
54b8qPFqYqIndfdxiLApea,Alone,34jw2BbxjoYalTp8cJFCPv,Heart,56dfEbntfVTMCxjrjggL1e,218733,1987-06-06,74,0.418,0.452,1,-13.099,1,0.0356,0.638,0.00026,0.0959,0.168,175.088,37i9dQZF1DWYMvTygsLWlG,Love Ballads
013AWvizllIUEC2FOBzOnh,Truly Madly Deeply,3NRFinRTEqUCfaTTZmk8ek,Savage Garden,64peTvbTLBDeSBu0GsCRE4,277266,1997-03-04,74,0.555,0.698,0,-8.874,1,0.0287,0.403,0.0,0.0851,0.816,168.12,37i9dQZF1DWYMvTygsLWlG,Love Ballads
3ZP18us6p6LHOZMG1LLUjF,"How Deep Is Your Love - From ""Saturday Night Fever"" Soundtrack",1LZEQNv7sE11VDY3SdxQeN,Bee Gees,4vAhQeeWkSjVn0p5GAaLBx,241093,2020-12-11,74,0.594,0.5,5,-5.586,0,0.0255,0.076,9.86e-05,0.184,0.537,104.996,37i9dQZF1DWYMvTygsLWlG,Love Ballads
1zng9uqqXoPkmU05nsAlsw,Bed Of Roses,58lV9VcRSjABbAbfWS6skp,Bon Jovi,2FbviTPUjgJJUxsGM1sGDq,394400,1992-11-03,74,0.309,0.596,5,-5.599,1,0.0293,0.101,0.0,0.21,0.161,164.587,37i9dQZF1DWYMvTygsLWlG,Love Ballads
0e3yhVeNaTfKIWQRw9U9sY,Sacrifice,3PhoLpVuITZKcymswpck5b,Elton John,0j12QW17dkUCCI7eOAiT1r,304133,1989-08-29,74,0.756,0.422,11,-12.967,0,0.0292,0.0165,0.00183,0.0368,0.487,112.751,37i9dQZF1DWYMvTygsLWlG,Love Ballads
36lkJSDyMEZoWTqtRj8Q8q,You're the Inspiration - 2006 Remaster,3iDD7bnsjL9J4fO298r0L0,Chicago,1ICKrl6sDjJD1YdR9VDfPR,229240,1984-05-14,73,0.583,0.602,11,-6.364,1,0.0274,0.368,0.0,0.22,0.388,74.008,37i9dQZF1DWYMvTygsLWlG,Love Ballads
